ident;type;iata_code
03N;small_airport;UTK
07FA;small_airport;OCA
0AK;small_airport;PQS
0CO2;small_airport;CSE
0TE7;small_airport;JCY
13MA;small_airport;PMX
13Z;seaplane_base;WLR
16A;small_airport;NUP
16K;seaplane_base;PTC
19AK;small_airport;ICY
19P;seaplane_base;PPV
1KC;small_airport;KKK
1O6;small_airport;MHS
1XA2;small_airport;NIR
1Z1;small_airport;GCT
1Z9;seaplane_base;ELW
2AK;small_airport;LVD
2AK6;small_airport;HGZ
2IG4;small_airport;OTN
2K5;small_airport;TLF
2TE0;small_airport;BZT
2Z1;seaplane_base;HBH
2Z6;seaplane_base;FAK
38WA;small_airport;BYW
3AK5;small_airport;DRF
3IS8;small_airport;BDF
3VS;small_airport;VRS
3Z8;seaplane_base;GDH
4A2;small_airport;ATT
4AK;small_airport;LIV
4K0;small_airport;PDB
4K5;small_airport;KOZ
4KA;small_airport;TNK
4TE8;closed;EVA
4Z7;seaplane_base;WHD
57A;seaplane_base;TKI
5A8;medium_airport;WKK
5KE;seaplane_base;WFB
5NK;small_airport;NNK
5Z9;seaplane_base;BKF
65LA;small_airport;BCS
6CA3;heliport;SPQ
6N5;heliport;TSS
6N7;seaplane_base;QNY
6OK6;small_airport;BWL
78K;seaplane_base;WYB
78WA;small_airport;CWS
7KA;small_airport;TEK
7NC2;small_airport;DUF
7WA5;small_airport;SSW
82CL;small_airport;FOB
83Q;seaplane_base;PUL
84CL;heliport;CCD
84K;seaplane_base;WMK
89NY;small_airport;AXB
8XS8;small_airport;REE
90WA;small_airport;WDN
96Z;seaplane_base;WWP
9A3;small_airport;CHU
9A8;small_airport;UGS
9B1;small_airport;MXG
9N2;seaplane_base;PSQ
9Z8;small_airport;KLL
A23;seaplane_base;SGW
A61;small_airport;WTL
A63;small_airport;TWA
A79;small_airport;KCQ
AAD;small_airport;AAD
ABP;small_airport;ABP
ABW;closed;ABW
AD-ALV;heliport;ALV
ADC;small_airport;ADC
ADV;small_airport;ADV
AE-0006;seaplane_base;DJH
AEE;small_airport;AEE
AEI;heliport;AEI
AEK;small_airport;AEK
AEQ;small_airport;AEQ
AF10;small_airport;URZ
AF11;small_airport;OLR
AFK;seaplane_base;AFK
AFR;small_airport;AFR
AGAF;small_airport;AFT
AGAR;small_airport;RNA
AGAT;small_airport;ATD
AGBA;small_airport;VEV
AGEV;small_airport;GEF
AGG;small_airport;AGG
AGGA;small_airport;AKS
AGGB;small_airport;BNY
AGGC;small_airport;CHY
AGGE;small_airport;BAS
AGGF;small_airport;FRE
AGGH;medium_airport;HIR
AGGI;small_airport;MBU
AGGJ;small_airport;AVU
AGGK;small_airport;IRA
AGGL;small_airport;SCZ
AGGM;medium_airport;MUA
AGGN;small_airport;GZO
AGGO;small_airport;MNY
AGGP;small_airport;PRS
AGGQ;closed;OTV
AGGR;small_airport;RNL
AGGS;small_airport;EGM
AGGT;small_airport;NNB
AGGU;small_airport;RUS
AGGV;small_airport;VAO
AGGY;small_airport;XYA
AGK;small_airport;AGK
AGKG;small_airport;KGE
AGKU;small_airport;KUE
AGKW;small_airport;KWS
AGL;small_airport;AGL
AGNA;small_airport;NAZ
AGRC;small_airport;RIN
AGRM;small_airport;RBV
AGTI;heliport;TLG
AGY;small_airport;AGY
AHJ;medium_airport;AHJ
AHT;closed;AHT
AHY;small_airport;AHY
AIE;small_airport;AIE
AIH;small_airport;AIH
AIP;small_airport;AIC
AK13;small_airport;CEX
AK26;small_airport;SOL
AK33;small_airport;HED
AK49;small_airport;TWE
AK56;seaplane_base;KTH
AK62;seaplane_base;NKI
AK71;small_airport;LNI
AK75;small_airport;CDL
AK81;seaplane_base;AOS
AK96;small_airport;BSZ
AK97;small_airport;BSW
AKM;small_airport;AKM
AL73;small_airport;TGE
ALZ;seaplane_base;ALZ
AMC;small_airport;PPE
AME;small_airport;AME
AMF;small_airport;AMF
AMU;small_airport;AMU
AMY;small_airport;AMY
ANH;closed;ANH
ANYN;medium_airport;INU
ANZ;small_airport;ANZ
AO-0005;small_airport;ANL
AO-CNZ;small_airport;CNZ
AO-DRC;small_airport;DRC
AO-GGC;small_airport;GGC
AO-JMB;small_airport;JMB
AO-KNP;small_airport;KNP
AO-NDF;small_airport;NDF
AOA;closed;AOA
AOB;small_airport;AOB
AOD;small_airport;AOD
APP;small_airport;APP
APR;small_airport;APR
AQY;small_airport;AQY
AR-0005;small_airport;QRF
AR-0007;small_airport;CVI
AR-0009;small_airport;CNT
AR-0010;small_airport;VGS
AR-0011;small_airport;LMD
AR-0015;closed;SZQ
AR-0017;small_airport;VCF
AR-0346;small_airport;NCJ
AR-0390;small_airport;CPG
AR-0462;small_airport;PRQ
AR-0494;small_airport;OLN
ARP;small_airport;ARP
ARX;closed;ARX
AS-TAV;small_airport;TAV
ASZ;small_airport;ASZ
ATN;small_airport;ATN
ATP;small_airport;ATP
AU-0081;small_airport;LYT
AU-AGW;small_airport;AGW
AU-AYD;small_airport;AYD
AU-BYX;small_airport;BYX
AU-COB;small_airport;COB
AU-CRJ;small_airport;CRJ
AU-CRY;small_airport;CRY
AU-CSD;small_airport;CSD
AU-DYM;small_airport;DYM
AU-HIS;seaplane_base;HIS
AU-HLV;small_airport;HLV
AU-KBD;small_airport;KBD
AU-KGR;small_airport;KGR
AU-MWY;small_airport;MWY
AU-MYO;small_airport;MYO
AU-OKB;small_airport;OKB
